Term,Sax String,ClusterId
8.0,10.0,1
5.0,9.0,2
10.0,10.0,3
7.0,10.0,4
7.0,10.0,4
6.0,10.0,6
6.0,10.0,6
11.0,10.0,8
6.0,10.0,6
10.0,10.0,3
4.0,10.0,11
11.0,10.0,8
9.0,10.0,13
8.0,9.0,14
3.0,10.0,15
5.0,10.0,0
6.0,9.0,17
13.0,10.0,18
8.0,10.0,1
4.0,10.0,11
6.0,10.0,6
8.0,10.0,1
7.0,10.0,4
5.0,10.0,0
6.0,9.0,17
8.0,10.0,1
12.0,10.0,27
7.0,10.0,4
4.0,10.0,11
6.0,9.0,17
3.0,10.0,15
14.0,10.0,18
12.0,9.0,33
6.0,10.0,6
8.0,10.0,1
7.0,10.0,4
5.0,9.0,2
7.0,10.0,4
11.0,10.0,8
10.0,10.0,3
10.0,10.0,3
4.0,10.0,11
10.0,10.0,3
4.0,10.0,11
7.0,10.0,4
4.0,10.0,11
13.0,10.0,18
9.0,10.0,13
4.0,10.0,11
9.0,10.0,13
7.0,10.0,4
10.0,10.0,3
3.0,10.0,15
10.0,9.0,54
4.0,10.0,11
8.0,10.0,1
6.0,10.0,6
9.0,10.0,13
3.0,10.0,15
53.0,10.0,60
8.0,10.0,1
10.0,10.0,3
8.0,10.0,1
6.0,10.0,6
6.0,9.0,17
4.0,10.0,11
9.0,10.0,13
8.0,10.0,1
11.0,10.0,8
12.0,10.0,27
4.0,10.0,11
9.0,9.0,72
10.0,10.0,3
12.0,10.0,27
8.0,10.0,1
6.0,10.0,6
7.0,10.0,4
8.0,10.0,1
10.0,10.0,3
11.0,10.0,8
10.0,10.0,3
11.0,10.0,8
9.0,10.0,13
5.0,9.0,2
8.0,10.0,1
6.0,10.0,6
7.0,10.0,4
10.0,10.0,3
9.0,10.0,13
4.0,10.0,11
10.0,10.0,3
4.0,10.0,11
10.0,10.0,3
7.0,10.0,4
6.0,10.0,6
8.0,10.0,1
8.0,10.0,1
10.0,10.0,3
6.0,9.0,17
4.0,10.0,11
10.0,10.0,3
10.0,10.0,3
5.0,10.0,0
8.0,10.0,1
5.0,9.0,2
8.0,10.0,1
6.0,10.0,6
11.0,10.0,8
9.0,10.0,13
9.0,10.0,13
5.0,10.0,0
3.0,10.0,15
6.0,10.0,6
9.0,10.0,13
3.0,10.0,15
8.0,10.0,1
8.0,9.0,14
8.0,10.0,1
7.0,10.0,4
11.0,10.0,8
14.0,10.0,18
6.0,9.0,17
3.0,9.0,123
3.0,10.0,15
4.0,9.0,125
6.0,10.0,6
11.0,9.0,127
5.0,10.0,0
5.0,10.0,0
6.0,10.0,6
5.0,10.0,0
4.0,10.0,11
8.0,10.0,1
8.0,10.0,1
3.0,10.0,15
7.0,10.0,4
11.0,10.0,8
7.0,10.0,4
8.0,10.0,1
11.0,10.0,8
5.0,10.0,0
4.0,10.0,11
9.0,10.0,13
6.0,10.0,6
11.0,10.0,8
5.0,10.0,0
5.0,10.0,0
6.0,10.0,6
6.0,10.0,6
11.0,10.0,8
7.0,10.0,4
7.0,10.0,4
10.0,10.0,3
5.0,9.0,2
3.0,9.0,123
4.0,10.0,11
4.0,9.0,125
5.0,10.0,0
3.0,10.0,15
4.0,10.0,11
6.0,10.0,6
9.0,10.0,13
6.0,10.0,6
4.0,10.0,11
6.0,10.0,6
13.0,10.0,18
4.0,10.0,11
7.0,10.0,4
7.0,10.0,4
5.0,10.0,0
4.0,10.0,11
3.0,10.0,15
5.0,10.0,0
4.0,10.0,11
7.0,10.0,4
4.0,10.0,11
12.0,10.0,27
4.0,10.0,11
6.0,10.0,6
8.0,10.0,1
2.0,10.0,15
4.0,10.0,11
7.0,10.0,4
6.0,10.0,6
3.0,10.0,15
13.0,10.0,18
10.0,10.0,3
13.0,9.0,33
5.0,9.0,2
10.0,10.0,3
4.0,9.0,125
7.0,10.0,4
7.0,10.0,4
10.0,10.0,3
5.0,10.0,0
5.0,10.0,0
6.0,10.0,6
7.0,10.0,4
3.0,10.0,15
6.0,10.0,6
4.0,10.0,11
13.0,10.0,18
6.0,10.0,6
10.0,10.0,3
13.0,10.0,18
6.0,10.0,6
6.0,10.0,6
9.0,10.0,13
6.0,10.0,6
7.0,10.0,4
7.0,10.0,4
4.0,10.0,11
5.0,10.0,0
12.0,10.0,27
4.0,10.0,11
10.0,10.0,3
3.0,10.0,15
10.0,10.0,3
5.0,10.0,0
10.0,10.0,3
4.0,10.0,11
5.0,10.0,0
11.0,10.0,8
12.0,10.0,27
4.0,10.0,11
11.0,10.0,8
5.0,10.0,0
5.0,10.0,0
9.0,10.0,13
9.0,10.0,13
4.0,9.0,125
7.0,10.0,4
5.0,10.0,0
5.0,10.0,0
6.0,9.0,17
6.0,10.0,6
6.0,9.0,17
