ClusterId,Term
1,gotabayar
1,explosive
0,spoke
4,withdrawn
5,clinton
5,theorists
7,redouad
5,approved
7,jkenney
4,brooklyn
0,develo
0,daring
13,pics
1,abscbnnews
13,cdc
16,antonio
17,spreading
18,230m
7,reserves
7,carriers
0,60916
4,maxcroser
23,prioritization
1,strategist
4,standards
18,8pm
7,reserved
28,telling
28,fearless
5,hosting
31,1000
1,bjp4india
18,ceo
34,kristindonnelly
0,minds
7,selfish
7,zombie
4,characteri
7,gandhi
40,5vzqo7kvq2
5,resigned
0,ordered
5,approves
44,asymptomatic
40,2oodnddvzr
40,australians
13,tha
7,entering
13,halt
13,thi
4,deploying
0,norway
13,tho
1,quarantine
1,dpjhodges
5,november
44,risingserpent
40,dig1v9qduy
18,100m
60,vaccinated
31,100k
13,pigs
7,suffered
7,speakers
18,tim
0,sotto
4,predicted
4,delivering
7,making
4,asanilta
13,8th
44,kakalibisui
13,gone
4,aotdaiiy
75,justintrudeau
17,reopening
7,yougov
23,reverendwarnock
5,applied
44,norbertelekes
1,proactive
5,ramping
83,flown
4,expanded
0,denmark
4,provides
28,murdoch
88,suzanneevans1
5,ensuring
44,definitively
7,quarters
13,tweet
5,ranging
4,shielding
4,handling
7,taking
40,vaccinatio
13,tmc
13,thrus
5,incensed
0,loved
0,struck
4,mutating
104,dr2nisreenalwan
1,protecting
18,went
1,considering
23,berniespofforth
4,indonesia
0,reformed
1,wroetoshaw
4,mutation
17,bringing
5,schools
44,transparency
4,pmbhutan
18,sars
31,orders
1,vibhasays
44,vaccination
0,thats
0,women
13,cmo
7,165714
13,fuck
13,cms
88,elisestefanik
0,leaked
28,nigerian
13,toh
4,mandatory
18,tom
44,conjunction
4,sabatini
13,cna
44,kamalaharris
44,davidbegnaud
44,berniesanders
139,nadhimzahawi
5,morrison
4,statewide
44,brianlilley
31,cnn
13,ccgs
1,stupidity
7,retweet
44,vaccinating
0,drugs
7,willie
13,uplo
28,premier
0,asian
7,allergic
4,justices
7,trusts
40,mygovindia
75,johnfugelsang
7,willis
28,blasio
5,countys
40,communities
0,infect
18,com
44,heartbreaking
13,con
0,kudos
13,cos
18,cor
18,lets
13,cov
0,gruters
7,rtenews
0,abject
7,biggest
13,govt
1,microchips
40,thejeremyvine
23,iampinglacson
0,produ
0,explo
40,introducing
0,wales
13,lbc
5,christmas
0,kumar
13,200
7,markets
18,were
13,became
5,arizona
7,govevers
18,weve
75,jackiefielder
23,picardonhealth
83,times
0,custo
40,coincidence
13,says
5,comments
0,20000
5,surgeries
7,lengthy
83,probe
13,cv19
7,lining
7,spoken
7,capita
7,caught
0,rahul
7,gotten
13,pres
0,japan
16,biotechs
7,clamour
18,lea
40,aidilarazak
18,led
40,infuriating
4,circulate
75,repkatieporter
0,worked
60,alexberenson
13,docs
0,stats
0,hackers
7,liable
44,philippines
7,300000
5,soreness
44,appointments
5,hopkins
75,andrewharding9
13,cares
0,havent
0,picks
4,europeans
5,creating
0,shots
13,items
13,1901
7,biotech
7,toronto
13,cuz
7,dollars
28,strains
13,253
0,tamil
83,shoul
7,worries
13,does
17,ezraklein
1,waitingif
7,reported
13,cvs
7,refused
5,accused
0,lottery
7,services
7,refuses
7,calexpo
40,silverrich39
5,filling
13,clap
7,mumbai
7,menthol
4,mdub2829
1,registering
13,25k
18,25m
13,270
40,indonesians
7,paying
44,uncontrolled
4,deception
4,holidays
0,blows
40,volunteering
0,homes
31,22bn
0,starts
18,tech
4,involves
75,cyrilramaphosa
5,athletes
0,nurses
44,technologies
5,converted
0,johns
13,cards
75,axa0statement
4,resistant
0,farmers
13,preve
44,colinrtalbot
44,alandrummond2
13,hours
40,bun5zhhh0s
7,refusal
5,advised
40,inaugurated
75,steventdennis
4,orwellian
1,mlkendricks
0,klans
7,disney
31,paid
5,reducing
5,stumbles
1,celebrities
7,twitter
7,measures
1,duffasteve
