covid,11936,9611,9611,9611,9611,9611,9611,9611,9611,9611
johnson,4743,1926,1926,1926,1926,1926,1926,1926,1926,1926
covid19,2767,1737,1737,1737,1737,1737,1737,1737,1737,1737
brought,2608,191,191,191,191,191,191,191,191,191
astrazeneca,2220,1162,1162,1162,1162,1162,1162,1162,1162,1162
novavax,2153,328,328,328,328,328,328,328,328,328
india,1934,703,703,703,703,703,703,703,703,703
pfizer,1872,1187,1187,1187,1187,1187,1187,1187,1187,1187
rollout,1421,1151,1151,1151,1151,1151,1151,1151,1151,1151
moderna,1010,614,614,614,614,614,614,614,614,614
biden,1001,2381,2381,2381,2381,2381,2381,2381,2381,2381
european,958,375,375,375,375,375,375,375,375,375
africa,754,198,198,198,198,198,198,198,198,198
brexit,743,498,498,498,498,498,498,498,498,498
sturgeon,613,175,175,175,175,175,175,175,175,175
oxford,612,373,373,373,373,373,373,373,373,373
ashishkjha,603,470,470,470,470,470,470,470,470,470
stuck,490,77,77,77,77,77,77,77,77,77
janssen,480,148,148,148,148,148,148,148,148,148
oregon,420,64,64,64,64,64,64,64,64,64
fauci,412,351,351,351,351,351,351,351,351,351
israel,407,286,286,286,286,286,286,286,286,286
scotland,368,208,208,208,208,208,208,208,208,208
percent,366,86,86,86,86,86,86,86,86,86
latest,343,248,248,248,248,248,248,248,248,248
taken,334,204,204,204,204,204,204,204,204,204
macron,315,364,364,364,364,364,364,364,364,364
irish,298,413,413,413,413,413,413,413,413,413
urgent,297,310,310,310,310,310,310,310,310,310
everyon,280,36,36,36,36,36,36,36,36,36
british,277,169,169,169,169,169,169,169,169,169
appoi,275,292,292,292,292,292,292,292,292,292
britain,271,645,645,645,645,645,645,645,645,645
biontech,234,133,133,133,133,133,133,133,133,133
children,216,275,275,275,275,275,275,275,275,275
shown,215,80,80,80,80,80,80,80,80,80
vacci,215,114,114,114,114,114,114,114,114,114
china,213,237,237,237,237,237,237,237,237,237
canadian,212,143,143,143,143,143,143,143,143,143
women,209,138,138,138,138,138,138,138,138,138
england,195,105,105,105,105,105,105,105,105,105
alexberenson,190,263,263,263,263,263,263,263,263,263
peston,190,62,62,62,62,62,62,62,62,62
juliahb1,174,165,165,165,165,165,165,165,165,165
corona,171,151,151,151,151,151,151,151,151,151
snowstorm,166,40,40,40,40,40,40,40,40,40
lockdown,163,211,211,211,211,211,211,211,211,211
pentagon,157,340,340,340,340,340,340,340,340,340
guardian,157,111,111,111,111,111,111,111,111,111
infect,143,35,35,35,35,35,35,35,35,35
gonna,132,84,84,84,84,84,84,84,84,84
french,130,161,161,161,161,161,161,161,161,161
zeneca,127,48,48,48,48,48,48,48,48,48
email,118,81,81,81,81,81,81,81,81,81
covax,115,162,162,162,162,162,162,162,162,162
spoke,112,34,34,34,34,34,34,34,34,34
blair,112,45,45,45,45,45,45,45,45,45
congress,110,66,66,66,66,66,66,66,66,66
america,107,264,264,264,264,264,264,264,264,264
wanna,105,59,59,59,59,59,59,59,59,59
australia,105,167,167,167,167,167,167,167,167,167
piersmorgan,104,137,137,137,137,137,137,137,137,137
higher,92,74,74,74,74,74,74,74,74,74
russian,91,70,70,70,70,70,70,70,70,70
sheikh,88,213,213,213,213,213,213,213,213,213
longer,87,91,91,91,91,91,91,91,91,91
washington,86,57,57,57,57,57,57,57,57,57
sarscov2,85,25,25,25,25,25,25,25,25,25
english,84,26,26,26,26,26,26,26,26,26
benhabib6,82,58,58,58,58,58,58,58,58,58
broke,81,75,75,75,75,75,75,75,75,75
alberta,79,47,47,47,47,47,47,47,47,47
virginia,79,24,24,24,24,24,24,24,24,24
shipment,77,27,27,27,27,27,27,27,27,27
spain,75,48,48,48,48,48,48,48,48,48
msnbc,75,85,85,85,85,85,85,85,85,85
pmoindia,73,58,58,58,58,58,58,58,58,58
